Line Name,Measurement Type,Time,Value,Units
C0_WA1_biomek-R1,CID:160478:Flaviolin,48,0.0395629,n/a
C0_WB1_biomek-R2,CID:160478:Flaviolin,48,0.0737786,n/a
C0_WC1_biomek-R3,CID:160478:Flaviolin,48,0.082351,n/a
C0_WD1_biomek-R4,CID:160478:Flaviolin,48,0.1497478,n/a
C0_WE1_biomek-R5,CID:160478:Flaviolin,48,0.2041382,n/a
C0_WF1_biomek-R6,CID:160478:Flaviolin,48,0.2178836,n/a
C0_WA2_biomek-R7,CID:160478:Flaviolin,48,-0.0180052,n/a
C0_WB2_biomek-R8,CID:160478:Flaviolin,48,0.0401541,n/a
C0_WC2_biomek-R9,CID:160478:Flaviolin,48,-0.0379582,n/a
C0_WD2_biomek-R10,CID:160478:Flaviolin,48,0.1300904,n/a
C0_WE2_biomek-R11,CID:160478:Flaviolin,48,0.1326769,n/a
C0_WF2_biomek-R12,CID:160478:Flaviolin,48,0.1977828,n/a
C0_WA3_biomek-R13,CID:160478:Flaviolin,48,-0.0381799,n/a
C0_WB3_biomek-R14,CID:160478:Flaviolin,48,0.0873762,n/a
C0_WC3_biomek-R15,CID:160478:Flaviolin,48,0.0710443,n/a
C0_WD3_biomek-R16,CID:160478:Flaviolin,48,0.1731741,n/a
C0_WE3_biomek-R17,CID:160478:Flaviolin,48,0.2202484,n/a
C0_WF3_biomek-R18,CID:160478:Flaviolin,48,0.1546991,n/a
C0_WA4_biomek-R19,CID:160478:Flaviolin,48,-0.0230304,n/a
C0_WB4_biomek-R20,CID:160478:Flaviolin,48,-0.0132017,n/a
C0_WC4_biomek-R21,CID:160478:Flaviolin,48,-0.0071419,n/a
C0_WD4_biomek-R22,CID:160478:Flaviolin,48,-0.0364063,n/a
C0_WE4_biomek-R23,CID:160478:Flaviolin,48,-0.0326374,n/a
C0_WF4_biomek-R24,CID:160478:Flaviolin,48,-0.0301248,n/a
C0_WA5_manual-R1,CID:160478:Flaviolin,48,0.2939267,n/a
C0_WB5_manual-R2,CID:160478:Flaviolin,48,0.3462479,n/a
C0_WC5_manual-R3,CID:160478:Flaviolin,48,0.2656969,n/a
C0_WD5_manual-R4,CID:160478:Flaviolin,48,0.6273635,n/a
C0_WE5_manual-R5,CID:160478:Flaviolin,48,0.7082101,n/a
C0_WF5_manual-R6,CID:160478:Flaviolin,48,0.1487132,n/a
C0_WA6_manual-R7,CID:160478:Flaviolin,48,0.0667581,n/a
C0_WB6_manual-R8,CID:160478:Flaviolin,48,0.0929187,n/a
C0_WC6_manual-R9,CID:160478:Flaviolin,48,-0.0054422,n/a
C0_WD6_manual-R10,CID:160478:Flaviolin,48,1.0168904,n/a
C0_WE6_manual-R11,CID:160478:Flaviolin,48,1.5461622,n/a
C0_WF6_manual-R12,CID:160478:Flaviolin,48,0.5642529,n/a
C0_WA7_manual-R13,CID:160478:Flaviolin,48,0.0985351,n/a
C0_WB7_manual-R14,CID:160478:Flaviolin,48,0.2420489,n/a
C0_WC7_manual-R15,CID:160478:Flaviolin,48,-0.0367758,n/a
C0_WD7_manual-R16,CID:160478:Flaviolin,48,0.0260392,n/a
C0_WE7_manual-R17,CID:160478:Flaviolin,48,0.0822771,n/a
C0_WF7_manual-R18,CID:160478:Flaviolin,48,-0.0297553,n/a
C0_WA8_manual-R19,CID:160478:Flaviolin,48,-0.0382538,n/a
C0_WB8_manual-R20,CID:160478:Flaviolin,48,-0.0177096,n/a
C0_WC8_manual-R21,CID:160478:Flaviolin,48,-0.0099501,n/a
C0_WD8_manual-R22,CID:160478:Flaviolin,48,0.4604234,n/a
C0_WE8_manual-R23,CID:160478:Flaviolin,48,0.1820421,n/a
C0_WF8_manual-R24,CID:160478:Flaviolin,48,0.3050856,n/a